Position,Games,FantasyPoints,PlayerID,AvgFPPG
TE,10,2.0,nate adkins0,0.2
FB,16,3.0,khari blasingame0,0.1875
TE,17,3.0,charlie woerner0,0.17647058823529413
FB,17,3.0,c.j. ham0,0.17647058823529413
WR,12,2.0,gunner olszewski0,0.16666666666666666
TE,6,1.0,tucker fisk0,0.16666666666666666
RB,6,1.0,jashaun corbin0,0.16666666666666666
WR,6,1.0,mason kinsey0,0.16666666666666666
WR,14,2.0,zach pascal0,0.14285714285714285
WR,7,1.0,cody thompson0,0.14285714285714285
RB,7,1.0,jonathan ward0,0.14285714285714285
TE,15,2.0,trevon wesco0,0.13333333333333333
TE,16,2.0,chris manhertz0,0.125
RB,8,1.0,alex armah0,0.125
RB,8,1.0,chris evans0,0.125
WR,17,2.0,miles boykin0,0.11764705882352941
RB,17,2.0,deejay dallas0,0.11764705882352941
TE,9,1.0,john fitzpatrick0,0.1111111111111111
RB,9,1.0,kene nwangwu0,0.1111111111111111
TE,10,1.0,eric saubert0,0.1
TE,12,1.0,ross dwelley0,0.08333333333333333
FB,13,1.0,jakob johnson0,0.07692307692307693
TE,14,1.0,kevin rader0,0.07142857142857142
WR,16,1.0,austin trammell0,0.0625
WR,3,0.0,amari rodgers0,0.0
RB,2,0.0,jordan mims0,0.0
RB,1,0.0,james robinson0,0.0
FB,5,0.0,giovanni ricci0,0.0
RB,2,0.0,deneric prince0,0.0
FB,13,0.0,adam prentice0,0.0
QB,2,0.0,nathan peterman0,0.0
TE,3,0.0,josh pederson0,0.0
FB,2,0.0,henry pearson0,0.0
RB,2,0.0,qadree ollison0,0.0
TE,4,0.0,albert okwuegbunam0,0.0
WR,3,0.0,stanley morgan jr.0,0.0
WR,1,0.0,kirk merritt0,0.0
WR,1,0.0,ryan miller0,0.0
RB,3,0.0,jeremy mcnichols0,0.0
TE,6,0.0,tre' mckitty0,0.0
TE,9,0.0,sean mckeon0,0.0
RB,3,0.0,kenny mcintosh0,0.0
TE,1,0.0,jordan matthews0,0.0
FB,1,0.0,ben mason0,0.0
WR,1,0.0,tay martin0,0.0
TE,4,0.0,hunter long0,0.0
WR,1,0.0,kwamie lassiter ii0,0.0
TE,1,0.0,zack kuntz0,0.0
QB,1,0.0,aaron rodgers0,0.0
WR,2,0.0,kristian wilkerson0,0.0
TE,15,0.0,brady russell0,0.0
